code_position,code_fonds,code_titre,description_titre,classe_titre,quantite_actif,cours,valo_titre_cv,actif_net,poids
0081179,008,1179,CMT,ACT,4166,2100.000000,8748600.000000,604148419.590000,0.0144808787
0081181,008,1181,ALLIANCES,ACT,31592,498.000000,15732816.000000,604148419.590000,0.0260413095
0081185,008,1185,DELTA HOLDING,ACT,79180,68.000000,5384240.000000,604148419.590000,0.0089121147
0081193,008,1193,COLORADO,ACT,60838,85.000000,5171230.000000,604148419.590000,0.0085595358
0081203,008,1203,LESIEUR,ACT,343,344.950000,118317.850000,604148419.590000,0.0001958424
0081208,008,1208,JET CONTRACTORS,ACT,3705,2600.000000,9633000.000000,604148419.590000,0.0159447574
0081220,008,1220,TAQA MOROCCO,ACT,2773,1945.000000,5393485.000000,604148419.590000,0.0089274172
0081224,008,1224,COSUMAR,ACT,156253,202.950000,31711546.350000,604148419.590000,0.0524896620
0081226,008,1226,TOTALENERGIES MARKETING MAROC,ACT,10221,1598.000000,16333158.000000,604148419.590000,0.0270350091
0081231,008,1231,SODEP-MARSA MAROC,ACT,57896,901.000000,52164296.000000,604148419.590000,0.0863435115
0081232,008,1232,LAFARGE-HOLCIM MAROC,ACT,23289,1799.000000,41896911.000000,604148419.590000,0.0693487058
0081238,008,1238,IMMORENT INVEST,ACT,119849,91.500000,10966183.500000,604148419.590000,0.0181514726
0081239,008,1239,MUTANDIS,ACT,35612,244.850000,8719598.200000,604148419.590000,0.0144328743
0081246,008,1246,ARADEI CAPITAL,ACT,22949,440.000000,10097560.000000,604148419.590000,0.0167137075
0081250,008,1250,SOTHEMA,ACT,7466,1730.000000,12916180.000000,604148419.590000,0.0213791505
0081252,008,1252,TGCC,ACT,40762,834.300000,34007736.600000,604148419.590000,0.0562903676
0081258,008,1258,AKDITAL,ACT,24048,1119.000000,26909712.000000,604148419.590000,0.0445415582
0081261,008,1261,HPS (VN 10),ACT,33598,520.000000,17470960.000000,604148419.590000,0.0289183244
0081270,008,1270,STOKVIS NORD-AFRIQUE VN 10,ACT,30,92.600000,2778.000000,604148419.590000,0.0000045982
0081271,008,1271,CMGP GROUP,ACT,33259,376.000000,12505384.000000,604148419.590000,0.0206991918
0081275,008,1275,VICENNE,ACT,13029,420.000000,5472180.000000,604148419.590000,0.0090576749
0081276,008,1276,CASH PLUS,ACT,5289,290.000000,1533810.000000,604148419.590000,0.0025387967
0081278,008,1278,SGTM,ACT,24332,835.000000,20317220.000000,604148419.590000,0.0336295177
009003,009,003,PATRIMOINE OBLIGATIONS,OPC,2250,422.500000,950625.000000,56299905.720000,0.0168850194
009068,009,068,FCP ATTIJARI VALEURS ESG,OPC,28090,175.720000,4935974.800000,56299905.720000,0.0876728786
009070,009,070,FCP ATTIJARI FIXED INCOME DISTRIBUTION,OPC,49663,108.490000,5387938.870000,56299905.720000,0.0957006730
0091001,009,1001,SONASID,ACT,445,1985.000000,883325.000000,56299905.720000,0.0156896355
0091006,009,1006,SMI,ACT,47,5300.000000,249100.000000,56299905.720000,0.0044245190
0091035,009,1035,CREDIT EQDOM,ACT,353,1380.000000,487140.000000,56299905.720000,0.0086525900
0091038,009,1038,CDM,ACT,450,1040.000000,468000.000000,56299905.720000,0.0083126249
0091050,009,1050,CIMENTS DU MAROC,ACT,806,1737.000000,1400022.000000,56299905.720000,0.0248672175
